,Text,Emotion
9956,Feeling #adorable in my WalMart pajamas. #JenniMiller #JenniMiller29 #louiselinton,joy
412,"as someone that's struggled w EDs since i was 7y/o, i resent everyone who's making a spectacle of a certain youtuber who has severe anorexia",anger
6953,Hey @NHSEngland imagine being blue lighted to hospital unable to breathe only to be dumped in a cubicle and not seen for 4 hours #horrendous,anger
5459,@sophieRblake @SkySpeedway @Kelvin_Tatum @chrislouisIWSC no wonder Kelvin and Chris are smiling! 😍,joy
9837,I hope everyone has a safe and fantastic day!!! 😊,joy
8874,@CapehartJ I woke up in dread too. #2017,fear
5404,I'm still laughing 'Bitch took my pillow' line #glee #kurt,joy
2897,"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking",fear
4348,A cheerful sloth annotated old books about a very good man then the gods ended evil.,joy
9205,I'm so done with all the despair I'm having,fear
10556,@jimwilkz Because then the doom and gloom brigade would have nothing to moan about. We both know what a tragedy that would be!,sadness
9410,When you baby has their first temperature and all you do is worry #firsttimemum #firsttimemom #newborn #baby #sickbaby #worry,fear
5757,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness
6104,@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness
1777,A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic,fear
1105,"Michelle, who did NOTHING is hating on Nicole's game hahaha.... #bitter #bb18",anger
328,come on let's make em hate 😘make em pout they face 👿😩.,anger
8550,Working on the next #StarTrek #vidme video! I'm hoping I can fix my terrible audio crap from the last one 🤣 #SpecialBreedEnt,anger
5963,I think learning classical or ancient Japanese might help me get myself permanently out of depression. I sometimes suffer from sudden,sadness
1710,@Jchawes What is your favorite #horror movie? #ghosthunters,fear
1722,@YahooCare data stolen in 2014 and only now do you tell us .,fear
6248,So you're unhappy?,sadness
7019,There's nothing interesting here besides of retweet for follow #annoyed 😣😣,anger
2614,I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak,fear
8520,That person that #TalksTooMuch it becomes fucking #frustrating &amp; you get #mad but u have to pretend ur interested cos ur a nice person,anger
606,i love that tay &amp; tiff are just sitting at my house while i'm at work 🙃,anger
1255,@MetsProspectHub @brianpmangan taking offense to acount...he ranks 32 of 36 over last 2 years by SABR,anger
6585,It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice,sadness
7251,y'all don't understand. this woman's wrath is REAL. 🌹🖤,anger
10318,Also YAY @ChadHoy that's awesome about TX! &amp;I I'm not sure why but it makes me sad ur leaving Indy cuz it's not like we ever hang lol,joy
6489,But God will deliver the righteous to their place of salvation: no evil shall touch them، nor shall they grieve,sadness
2021,"@Away_Label_Not True Indeed! Next time if these midnight hunger pangs worry you,then you can order delicious rolls from #TRC via @ScootsyIt",fear
124,I need all your attention! If I don't I'll pout..,anger
3197,Why do I have such bad anxiety it's annoying,fear
3493,Howl at the moon with @HorrorSociety at @FatCatChicago next Wednesday the 28th for a FREE double feature of SILVER BULLET and CURSED #horror,fear
4254,I need a bit of #GBBO to cheer me up after a terrible day!,joy
8001,@cyclingweekly 'shocking' ???  Nah that's not Shocking . Richie Portes crash ...THAT WAS  shocking . #tourdefrance2017,anger
7147,And I will eat the end of term chocolates we bought as well! #fuming #doesntdeservethem #mightbedead,anger
9182,'The greatest #mistake we make is living in constant #fear that we will make one!' #LiveYourLife #WorkLifeBalance #Career,fear
9840,@VideoGamerCom Wow it looks like red deads long lost online brother.....until red dead 2 brings it's online twin :D,joy
5734,@OniLink86 @DarekMeridian lmao awe... ,sadness
3739,The more I watch this documentary on @Channel4 the more I think @Airbnb is more a #nightmare than dream #dreamornightmare,fear
2775,Check out @VovimPrgel - From Scotland #gamer #YouTuber #vlogger #designer #animator #artist. TY for following The Wake  #horrorfilm,fear
4625,@Nick_Offerman I'll be there!! Can't wait for all the #mirth!,joy
5364,"The #house no longer echoes with our #laughter. We light up our #memories of the #home and sit in the cold, #waiting. #amwriting #nostalgia",joy
7449,dropped my birth control on the floor and cant find it cause it blends with the carpet 🙃 #joy,joy
2219,@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,fear
5566,Bill Clinton: 'Do not grow weary of doing good.' @ClintonGlobal #CGI2016,sadness
7629,Never regret anything that once made you smile :) \n #positive ,joy
10101,Some people just need to learn how to #smile 😁 and #laugh 😂😂 #live #life,joy
8953,@ElfinKate @CulturalWatch @aldaily @BullDeborah @SelinaNThompson @CSSDLondon @CSSDLondon Tedx 1st Sept #scared!,fear
6428,F'n morons u23 SMFH can't just be lackadaisical,sadness
10639,"@MMjewelry I placed an order on June 30th and still HAVE NOT received it, ur peeps said it shipped but it has not #unhappy #dobetter",sadness
771,i was angry.,anger
941,fuming,anger
2739,@sreeniv51294598 hahaha dear d not worry discuss,fear
276,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned,anger
10511,@NualaBugeye 'personal freedom' to inflict unspeakable cruelty on animals for the voyeuristic pleasure of sadists and simpletons. Amazing. 🙃,joy
8223,@catherinebenham DO THE THING enrage all the people who cannot Do The Thing,anger
2055,This brother know we know that his life was not in danger. This gun law got people in this country fearing for their life. White people.,fear
7384,That said–due to passing the 50yr mark awhile ago–I know most of the #horrific damage to the #planet won't occur before my 'natural' #death.,fear
6982,How shit and depressing is this weather wish I can travel the world for a living,anger
6889,How's the new #BatmanTelltaleSeries? Looks good but I'm growing weary of this #gaming style... #Batman,sadness
10515,Stranger Things S2 25secs teaser! #excited 😲,joy
8289,I've developed a new philosophy... I only #dread one day at a time.,anger
5141,@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots 💖💖💖💖💖💖💖🎉🎊 #chapter22 #bdaygirl #happy #love,joy
649,@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,anger
6435,Just because I'm hurting \nDoesn't mean I'm hurt \nDoesn't mean I didn't get \nWhat I deserved \nNo better and no worse #lost  @coldplay,sadness
11082,@jnyalero @BelAkinyii Eng.R  u call a spade a spade if u were good lets all mourn but if you not pop a bottle and say good riddace,sadness
8391,@SBS_MTV #더쇼 #GOT7 #니가하면 rthrc #IFYOUDO #mad treeq,anger
7632,Never heard of #CaraCaraOranges until today. Very #tasty! I highly recommend them! #delicious #GoodForYou #fruits  #oranges,joy
5178,"A lot of positives tonight. A clean sheet, Payet got some free kick practice, Zaza looked lively and made a lot of good runs",joy
5268,Obfuscated magazines in passage to unite with in order to thine mirth conjunction treat quotient sufficiently: lEAqIWY,joy
4958,"Luke 1:14\nHe will be a joy and delight to you, and many will rejoice because of his birth",joy
8457,Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,anger
4619,"@SowerAsh007 Great to hear. If there's one thing that makes you feel more like yourself, it;s some hearty chicken noodle soup, right?",joy
4461,I gave up on the U20 Rugby bet on the Roosters! #cheering #nrl,joy
1515,snap: hiAleshia 😃,anger
9363,Just asked someone for help and to low key be my mentor #adulthood #anxiety,fear
3019,#ADHD &amp; #anxiety are #IRRELEVANT\nAnyone will be #EVICTED if a significant amount of rent HAS NOT BEEN PAID \n#mentalhealth aside\n#CantPay,fear
2568,".@monsoonuk Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund! #shocking",fear
10671,@Shirley_Sein who is that? 😧,sadness
8805,"@anya_sisi Off to jail with lots of other like minded muslims, with his koran, prayer mat, halal #islam = #terrorism",fear
4466,@r0Ils ppl get triggered over u smiling they're irrelevant,joy
5969,"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing",sadness
8715,A solitary rogue long hair now in my left ear? Its retreating from my head &amp; yet is relentless up my nose? Hair takes the piss...,anger
5673,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed 😢,sadness
5128,Am I watching #BacheloretteAU or Zoolander ?  #samvrhys,joy
5570,@Mets @JdeGrom19 I'm depress now,sadness
9240,#AmarnathTerrorAttack saddened to hear this ....need to take strict action against #terrorism ...,fear
787,Nothing is more relentless than a dog begging for food,anger
4341,Happy Birthday shorty. Stay fine stay breezy stay wavy @daviistuart 😘,joy
25,@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter,anger
9827,This reminds me of cheer up's location lit,joy
9749,Comforting #inspiring. #faith #Housefires #GoodFather Thank you.  Beautiful #song #itswhoiam #itswhoyouare #youtperfectinallofyourways,joy
5621,@rupindxr my heart actually sunk looooool I was so confused,sadness
11068,I was crying when I got to work yd morning and all my girls showed me so much love. Why couldn't they have worked here the last 3 years 😭,sadness
1237,"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger
5677,"Dropped my phone in the sink earlier.No sound, but everythin else works.Prepared myself for life without music until I put my earphones in",sadness
8836,"The use of violence, threat of violence and intimidation just tag zany pf. Very good at it.",fear
11071,4. I should start numbering these geezㅡ anyways im filipino but not fluent in the language huhu me ☹,sadness
7392,@Infographic_ksa @KSAMOFA #Doha capital of ,fear
8265,Your smile could never make me frown.,anger
1995,This maybe a new start but it will always be align with the end.  #forward,fear
2700,"@NikeSupport ok, thats it. After 2 weeks not being able to sign in, time to move on &amp; find another app. I will strongly discourage NikeRun",fear
10415,"Hailing from Izu Beach, a sparkling ★TWINKLE★ star, it's the newcomer everyone's been waiting for, Yohane♪",joy
8420,@AirCanada lol the clapper is upside frown,anger
4459,@AimiSyafiqahR go check up with your bf. He'll give u strength with just one smile. #TOPno1,joy
3510,@p4pictures it would be great but what if the card crashes 😱. It's happened to me twice ,fear
6177,"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness
4543,"Be happy. Be who you want to be. If others don't like it, then let them be. Happiness is a choice. Life isn't about pleasing everybody....",joy
6575,@PottzGaming hmu need players for lans next year. DM me. Need serious players. Im under org,sadness
4108,"categ than GEN &amp;OBC it cost only 100 or nill .i am not against the reservation and i support it,sir minimize the fees #bright fut @PMOIndia",joy
5683,"@MarGraham I am practically obsessed with it, the very thought of their departure makes me feel both melancholic and grateful.  Safe journey",sadness
8146,@dailysunsa Jerrrrrr a woman is been stabbed in the face and now guys r arguing about her ass being real or not hehehee ,anger
2244,Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,fear
3624,Embarrassing lack of defensive depth coming back to haunt us.,fear
10407,"@na_dirs Omg you're savage prof, this is hilarious 🤣🤣",joy
4660,"myself that despite the absolute delight my children and I would feel having a kitten in our home, the misery my husband would feel is more.",joy
6282,We lost,sadness
4346,Having a blast playing games and hearing testimonies at Pastor Jeremy's house #fellowship #food  #praise #gospel #coffey1617,joy
9777,@BroxtonDaniel I love you more than anything. I'm so glad we're able to make each other so infinitely happy😊,joy
3857,@indiamarshall_ that's great! It's not easy!\n&amp; it's amazing when nervousness turns into adrenaline 😂\nHad you had concerts as soloist before?,fear
1001,"Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of #anger.",anger
3206,"@BBCNews 😝 scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1",fear
2485,@bdp514am We are a tired and restless community. We are human and tired of asking for change only to be ignored.,fear
4080,@xmaseveevil1. #MSM is rejoicing that they've fooled us with these body doubles for so long &amp; now her death is a secret. Just like Hawkings,joy
949,"@NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already.",anger
225,"@healeyraine I'm offended, I actually am",anger
159,@atheist_taco @DrJillStein :^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe.,anger
500,I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger
7772,Being @ #work #sober 🤦🏽‍♂️ I can not do it,sadness
6346,the rappers who stayed true to the game is rich.,sadness
2404,"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS 😁and pick up my new flat keys #anxiety",fear
6035,@danhirtle @Bell Another unhappy customer.  #secreteyes,sadness
1260,@serendipity127_ @zombiecalorie @Angel_Eyes66 I'm sensing a theme here tho lol #angry,anger
7430,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage. Lao Tzu #wedding #happy #love",joy
2979,You make me breathless.,fear
4760,Epicurus~ The man least dependent upon the morrow goes to meet the morrow most cheerfully.,joy
393,"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger
1680,@xxmariab listen yh don't provoke me cos I'll make you cry,anger
1842,@FJHobson @Beaker126 @Biastai how would you suggest we profile to stop right wing terror,fear
2670,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,fear
6014,Fuck yall @Panthers for hiring that GOP PR guy to discourage Cam from speakinh his mind and heart about racism,sadness
489,"@broadly you should be criminalized for posting a pic of that brown frown.... Get a pic of some jack, or cookies, or diesel, Join up @CNN_Ai",anger
3948,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy
8745,@realDonaldTrump @DonaldJTrumpJr Trump is now fuming.  He feels the whole game may now be blown because of Jr's stupidity.,anger
2582,We Are Source!!\n\n #mindset #philosophy #thoughtsbecomethings #news #lifehacks  #you #LIFE #PleaseRT #ProblemSolving,fear
1475,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger
6088,@RonBaker6694 I got a super speeder and lost my license for 6 months! 😩🔫,sadness
7203,Everything I order online just comes looking like a piece of shit 😤,anger
6684,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.,sadness
410,After what just happened. In need to smoke. ,anger
10474,On our way to #Gamescom17 What can we expect and who will we meet? #excitement,joy
2661,"Welp, I'm off to get my #anxiety meds now. #Empire",fear
7620,Am 'ugly' guy whos pleasant geuine  and happy &gt; an evil attractive guy whos bitter and coniving and superficial,joy
8238,I'm so sick of that 'I'm done w. My ex na we're never getting back together' crap so You can get back together in like a month 😂,anger
6356,"we never taste happiness in perfection, our most fortunate successes are mixed with sadness. #success  #perfection #fortunate #mixed",sadness
5119,Mou is too jovial and trying to impress those players too much. No player is bigger than manutd. SAF won't tolerate all this bs @ManUtd,joy
2601,@GenevievePere23 @swifttwinner13 WOW you're calling me bully bc I correct a typo?😂 harsh,fear
574,The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight),anger
7297,"@AleOfATime It would be shocking, but it's simply evidence of another entity entering a market assuming cash alone wins the game.",fear
8884,@bulbamyeon @joonmyuni Yes I also wrote to them cause my friend was getting nervous about it. Hope we get what we want &gt;&lt;,fear
8989,@brfootball  he should come back to haunt them in UCL.,fear
886,sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;,anger
10222,"@helen_bywater @SDWorxUKI @TonynJo9091 Congratulations Jo, that's fantastic #30Years #inspiring",joy
4307,@jellzybean cheer up punkin',joy
10989,Sometimes i just wanna give up on everything i have but then i realize that if i give up and start fresh my hard work wont show. ,sadness
512,@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged  #yeller #quiet #screamer #😂😂,anger
4477,"Mon Celtic, give us something to cheer - place is empty, soaked &amp; its my wee nephew's Birthday ffs, started well, now dropped off.",joy
5578,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain,sadness
2600,@dfkm1970 @tomddumba the struggle is real. Whoa! I worry for the younger generation 💔,fear
7915,"Honey, you hurt me the way the sun touches my skin today #burning",anger
1254,I really wish my road rage wasn't so damn bad lmaooooo,anger
9522,TY @PhilDieke: 'To drown out the God of #blessing is a powerful #political act. But the silencing cannot go on forever.' - @FCSCreationSpir,joy
5871,Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest ,sadness
6340,"I know few will mourn the loss of Stitch's Great Escape, but...see, THIS is the kind of cost-cutting at parks I really don't care for.",sadness
10744,"@sapphixy Goddess, that poor girl 🙁",sadness
4848,@jadelalaa_ hahaha and u da best bro ever luv u hearty hearts,joy
1463,10 minutes with an incense and all I get is 2 Rattatas. 😂#PokemonGO,anger
2613,@datboyJuniorE lool soon as man start loosing weight.  Its panic,fear
5479,Did u laugh today? Laugh hard? I hope so..we NEED laughter now. #smile #love,joy
10675,@TheBoldTypeTV But what will the old woman do now? #heartbreaking #layoffs,sadness
8834,@EsteemedKompany is dani alves really going to go to PSG in your opinion #nervous,fear
10236,"fallen for the temptation that is @alwayssunny, brilliant show! #hilarious",joy
9573,Not a childs play..... Happy Birthday Sir ..be blessed,joy
8234,"Horrible mood, tired, annoyed, work at 10:00, running off shitty sleep.",anger
9859,I've come to the conclusion that @AmericanDadTBS is the best #animated #show ever. It really knows how to #tickle my giggle muscle.,joy
641,@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...,anger
10670,"#Amazon's #PrimeDay debut in #India was #disappointing, maybe next year it will get better..glad it's finally here though! 😅",sadness
7919,Nothing wrong with #anger it's how you use it!,anger
9772,@Kawells00 So bright that kill my heart😂,joy
8447,"@Ryanair beyond a joke! So #furious right now you have left my niece, sister and brother inlaw completely in the dark! Crap customer service",anger
4009,"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",joy
6112,"Once you've accepted your flaws, no one can use them against you - @GRRMspeaking #quote #mentalhealth #psychology #depression #anxiety",sadness
4357,I assume that people pick up on my joviality coz I lol a lot but it's just not working. Maybe I need to get heavy handed with emoticons? Ha,joy
8978,@thefinalwoman Yes! Mermaids and Scarecrows in short supply in #horror genre.,fear
3335,broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,fear
1481,This all resent #India #Pakistan problem is save #NawazSharif\n@ImranKhanPTI\n@PTIofficial,anger
8201,@waglenikhil don't worry we will take revenge u plan to run naked first .. when r u doing it ... We are showing ur hypocrisy,anger
7916,Waddup #bitter,anger
6120,@MissFushiGaming I hashtag things and the kids always tell me to stop 😭😭😭😭😭 #sadness,sadness
10145,New Lyft User? Use code to get credit: INVITES #Hey coupon clippers! #cheery #LyftNOW,joy
10679,#Deppression is real. Partners w/ #depressed people truly dont understand the depth in which they affect us. Add in #anxiety &amp;makes it worse,sadness
8358,"1/ ...do not give the devil an opportunity [to lead you into sin by holding a grudge, or nurturing anger, or harboring resentment, or",anger
7296,"@AlisonMoyet Knock, knock!\nWho's there?\nA guard\nA guard who?\n...do, do, push pineapple, shake a tree...\n\nI'll shut up now.",fear
3538,Ladies and gentlemen\nAfter the tremendous success of #PanamaLeaks\nNow presenting #BahamasLeaks 😂,fear
1578,Bloods boiling,anger
6839,Free live music in DC tonight!  #blues with #MoonshineSociety at @thehamiltondc in the Loft starting at 10:30pm @FreeinDCBlog @WTOPFreebies,sadness
7993,"Oh death, where is your sting?",anger
8542,@British_Airways They give awful service and you haven't got back to my complaint yet. Can you guess the airline? #dontflyBA #annoyed,anger
7985,@voguelayout fback ☹,anger
8808,ever shit and just become another cog in the chat i will not hesitate to smack ur bottoms,fear
2864,"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas #nightmare #stressed",fear
10828,I loved you even when everyone told me it was a bad choice 😕 #wish #you #stayed #away,sadness
10976,@azta110790 sports will always be ,sadness
4045,#SIGUEMEYTESIGO #happy #snapchat Manuellynch99 #venezuela,joy
3403,It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear
9502,Super excited and Counting down the hours until I see @Pink tomorrow night!!! #awesomeness 😍,joy
2275," heads melted, very tired but can't sleep. ",fear
7928,@mitchellvii @tomtomokie Yea but we won't do anything about it. ,anger
6341,"@ycfcnick the city is famous for the shambles, sadly the old street in the centre plays second fiddle to the stadium debacle nowadays!",sadness
75,Cheap pout my brodcast,anger
10917,"SC throws ball in Union Govt's court , Says  Govt should make law on #TripleTalaq  #disappointing",sadness
2932,&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed :(,fear
11038,"@thetrudz #PrimeDay , free slurpee day at 7-11's,  national chicken day, i got some multitasking to do and squeeze in my dr. Appt 😧",sadness
10371,"Even though it is raining, sun will shine #AndrewGoldman_I @AndrewGoldman_I #wisdom #think #philosophy #knowledge #life #happy #joy #best",joy
4290,@CScheiwiller can't stop smiling 😆😆😆,joy
1163,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,anger
6198,Smokeys dad is sad :/,sadness
6117,@TweeriaLee A stumbling block to the pessimist is a stepping stone to the optimist.,sadness
881,@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,anger
1176,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger
11018,"By the lack of cheers for cozart when he was announced, one would assume people don't know who the reds are. #cincysports #depressing",sadness
10247,"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",joy
342,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. ,anger
6831,@thatsabingo grim really,sadness
5797,Now I'm going to sulk again for a week until #OurGirl is back on! @michkeegan and @benaldridge07 are the best! @OurGirlWatch,sadness
2044,@megynkelly We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop.,fear
1637,"@rawhidevelvet No offense, but isn't it a little late to be getting a radio broadcast degree? Isn't that going to be over in a decade or 2?",anger
7755,All this makeup is going on sale....\nBut I ain't got the funds. #heartbreaking,sadness
7614,"My edit, not my photos #SPNFamily #SamWinchester #JaredPadalecki  #lips #tease",joy
9640,@thetimtracker Saw last nights vlog. Sorry bout what u guys went through this weekend. Just glad u r doing better! Happy car shopping.,joy
6061,Jay Z and Brad Pitt cheated ..Bey stayed Angie left #cheaters #love #lust #sex #couples #relationships #date #marriage #divorce,sadness
6566,Feels grim not having your nails done,sadness
5390,Skiving #Freshers2016 for a me day! #nails #sunbeds and #gym 😉💜👑 #priorities #student #studentnurse #pampered ,joy
4927,@lilymacintyre_ she was my favourite such a joyful soul,joy
6919,"@F1 Why announcing so late, it will be hard to make it from Manchester and organising a day off. #sad",anger
8022,A person #hates u for 1 of 3 reasons. They 1) want 2b U; 2) #hate themselves. 3) C U as a #threat. (&amp; don't tell me hate doesn't exist!),anger
5720,I wonder what would happen if I were a father. #weary,sadness
3959,Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour,joy
9996,Hello everyone! How are you? Sinong excited na for live shows? Hahaha don't worry we are too 😃😬,joy
4966,@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? #optimism,joy
3650,"Virtually every statement by other countries at UN has referred to #terror as main threat to peace, #Pak still in denial: MEA.",fear
9719,"Feeling slightly apprehensive, but amazing after this weekend off😊 ",joy
5255,Optimism leads to success. - Bill Kerr @Coach__Kerr #success  #goals,joy
9742,It will never not be hilarious to me when Joe gets mistaken for Olly Alexander at work,joy
1830,#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,fear
7309,#Trump's only #concern is personal #profit through his #brand and doing #favors for others in trade for his own needs. Not #US #people.,fear
8762,they think they're The Shit when they ain't shit gdi im bursting with anger,anger
1468,When your sister is 19 and throws legitimate temper tantrums just to get attention..,anger
10220,@justapenname @lettrs @RealJamesWoods btw you're a #brilliant,joy
4644,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor #exhilarating #NYCletsgo,joy
8162,'Florian Picasso - Final Call' is raging at ShoutDRIVE!,anger
1356,Bloody parking ticket 😒💸 ,anger
9824,i want u to have wonderful childhood memories \ndulu ticer tak kenal pun lagu2 english baa baa black sheep tu 😭 simply bcos takde exposure,joy
8273,"If GOD said it, then HE will do it...no need to fret, worry or fear! #pray #trust #believe #beatPeace #HEsGotThis #letFAITHarise Phil 4:6-7",anger
559,I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger
10280,@blonderella26 @Seahawksfan7777 @afern_alex @eugenegu @tonyposnanski @realDonaldTrump She's gonna have a meltdown 🤣,joy
6847,Whenever I'm feeling sad I will listen to monsta x and hug my teddy bear and I always feel better,sadness
8356,"I don't want money. My wounds couldn't be healed with any amount of money. But there is a medicine. And that is my hatred, my resentment.",anger
2905,#nobody #understand what #advocate mean if you do then use it #right #never be #afraid so #positive word is. I can that is #POWERFUL,fear
3128,That free kick from Rooney was awful,fear
9021,"Over 9 hours, 6 trains and 7 stations only to be back where I started #nightmare",fear
3776,@_miasienna ITS ALREADY FUCKING 1 ... Ok well I love having panic attacks in the afternoon,fear
2170,@C1TYofFL1NT This will haunt my dreams. @JoePrich,fear
